date,unit_sales,xgb_prediction,error,abs_error,residual
2014-01-01,0.0,440.1126,-440.11260986328125,440.11260986328125,-440.11260986328125
2014-01-02,589.0,447.88785,141.11215209960938,141.11215209960938,141.11215209960938
2014-01-03,474.0,420.253,53.74700927734375,53.74700927734375,53.74700927734375
2014-01-04,767.0,560.8712,206.1287841796875,206.1287841796875,206.1287841796875
2014-01-05,1203.0,709.2279,493.7720947265625,493.7720947265625,493.7720947265625
2014-01-06,399.0,426.44757,-27.44757080078125,27.44757080078125,-27.44757080078125
2014-01-07,498.0,413.79495,84.20504760742188,84.20504760742188,84.20504760742188
2014-01-08,561.0,408.5697,152.4302978515625,152.4302978515625,152.4302978515625
2014-01-09,239.0,374.86697,-135.86697387695312,135.86697387695312,-135.86697387695312
2014-01-10,438.0,387.70062,50.29937744140625,50.29937744140625,50.29937744140625
2014-01-11,619.0,653.57477,-34.57476806640625,34.57476806640625,-34.57476806640625
2014-01-12,533.0,593.2022,-60.20220947265625,60.20220947265625,-60.20220947265625
2014-01-13,443.0,421.87173,21.128265380859375,21.128265380859375,21.128265380859375
2014-01-14,440.0,420.61813,19.381866455078125,19.381866455078125,19.381866455078125
2014-01-15,360.0,365.9323,-5.93231201171875,5.93231201171875,-5.93231201171875
2014-01-16,1168.0,408.06577,759.9342346191406,759.9342346191406,759.9342346191406
2014-01-17,506.0,394.4327,111.56729125976562,111.56729125976562,111.56729125976562
2014-01-18,720.0,625.98755,94.012451171875,94.012451171875,94.012451171875
2014-01-19,561.0,681.40497,-120.40496826171875,120.40496826171875,-120.40496826171875
2014-01-20,391.0,408.3799,-17.379913330078125,17.379913330078125,-17.379913330078125
2014-01-21,421.0,401.73102,19.26898193359375,19.26898193359375,19.26898193359375
2014-01-22,519.0,410.27704,108.72296142578125,108.72296142578125,108.72296142578125
2014-01-23,231.0,334.68878,-103.68878173828125,103.68878173828125,-103.68878173828125
2014-01-24,263.0,383.3115,-120.31149291992188,120.31149291992188,-120.31149291992188
2014-01-25,789.0,583.70776,205.292236328125,205.292236328125,205.292236328125
2014-01-26,698.0,739.43146,-41.43145751953125,41.43145751953125,-41.43145751953125
2014-01-27,310.0,427.08646,-117.08645629882812,117.08645629882812,-117.08645629882812
2014-01-28,332.0,430.2297,-98.22970581054688,98.22970581054688,-98.22970581054688
2014-01-29,405.0,422.15234,-17.15234375,17.15234375,-17.15234375
2014-01-30,323.0,416.7796,-93.77960205078125,93.77960205078125,-93.77960205078125
2014-01-31,456.0,364.2147,91.78530883789062,91.78530883789062,91.78530883789062
2014-02-01,732.0,617.44214,114.557861328125,114.557861328125,114.557861328125
2014-02-02,704.0,701.0807,2.9193115234375,2.9193115234375,2.9193115234375
2014-02-03,395.0,429.99283,-34.992828369140625,34.992828369140625,-34.992828369140625
2014-02-04,313.0,421.0262,-108.02621459960938,108.02621459960938,-108.02621459960938
2014-02-05,463.0,450.11572,12.88427734375,12.88427734375,12.88427734375
2014-02-06,301.0,365.19904,-64.19903564453125,64.19903564453125,-64.19903564453125
2014-02-07,289.0,383.77344,-94.7734375,94.7734375,-94.7734375
2014-02-08,678.0,540.5076,137.49237060546875,137.49237060546875,137.49237060546875
2014-02-09,731.0,698.65247,32.3475341796875,32.3475341796875,32.3475341796875
2014-02-10,370.0,431.98035,-61.9803466796875,61.9803466796875,-61.9803466796875
2014-02-11,440.0,409.13193,30.868072509765625,30.868072509765625,30.868072509765625
2014-02-12,409.0,443.88458,-34.88458251953125,34.88458251953125,-34.88458251953125
2014-02-13,310.0,416.5358,-106.53579711914062,106.53579711914062,-106.53579711914062
2014-02-14,258.0,411.22293,-153.22293090820312,153.22293090820312,-153.22293090820312
2014-02-15,650.0,457.40192,192.59808349609375,192.59808349609375,192.59808349609375
2014-02-16,583.0,621.5135,-38.51348876953125,38.51348876953125,-38.51348876953125
2014-02-17,506.0,417.14145,88.85855102539062,88.85855102539062,88.85855102539062
2014-02-18,506.0,400.63913,105.36087036132812,105.36087036132812,105.36087036132812
2014-02-19,392.0,459.37714,-67.37713623046875,67.37713623046875,-67.37713623046875
